name,value
mTurkID, p90
subID,175
drive_name,1411
drive_index,2
time_date,Fri Feb 10 2023 21:11:57 GMT-0500 (Eastern Standard Time)
Page_15_SurveyPage_Question1_radio,Orange
Page_15_SurveyPage_Question2_text,Sooter
Page_15_SurveyPage_Question3_radio,36-45
Page_15_SurveyPage_Question4_radio,Male
Page_15_SurveyPage_Question5_radio,Other
Page_15_SurveyPage_Question5_text,Finance
Page_15_SurveyPage_Question6_radio,Master's_degree (e.g. MA; MS; MEd)
Page_15_SurveyPage_Question7_radio,1
Page_15_SurveyPage_Question8_radio,1
Page_15_SurveyPage_Question9_radio,2
Page_15_SurveyPage_Question10_radio,2
Page_15_SurveyPage_Question11_checkbox,1
Page_15_SurveyPage_Question11_checkbox,4
Page_15_SurveyPage_Question12_radio,7
Page_15_SurveyPage_Question13_checkbox,Other
Page_15_SurveyPage_Question15_textarea,Interesting study; thanks for hosting.
Page_15_SurveyPage_Question16_radio,Yes
