,name,mTurkID,subID,drive_name,drive_index,time,SurveyPage_Question1,SurveyPage_Question2,SurveyPage_Question3,SurveyPage_Question4,SurveyPage_Question5,SurveyPage_Question6,SurveyPage_Question7,SurveyPage_Question8,SurveyPage_Question9,SurveyPage_Question10,SurveyPage_Question11,SurveyPage_Question12,SurveyPage_Question13,SurveyPage_Question14,SurveyPage_Question16,SurveyPage_Question15
0,['value'],[' p85'],['8'],['1400'],['2'],['Mon Jan 30 2023 13:05:25 GMT-0700 (Mountain Standard Time)'],['Orange'],['Scooter'],['46-55'],['Male'],['Technology'],['Associate degree'],['2'],['1'],['2'],['2'],"['1', '2', '4']",['6'],"['Electric_bike', 'Electric_skateboard_similar']",['6'],['Yes'],
1,['value'],[' p256'],['246'],['2110'],['2'],['Wed Feb 15 2023 18:24:52 GMT-0600 (Central Standard Time)'],['Orange'],['Self driving scooter'],['36-45'],['Male'],"['Other', 'Transportation']",['High_school_degree_or_equivalent'],['1'],['1'],['1'],['2'],"['1', '4']",['5'],['Segway'],['7'],['Yes'],"[""was a fun study; I understand that the scenarios were there to setup you up to make a decision quickly. However; even though I pressed spacebar a couple of times; the circumstances didn't seem plausible that a crash would occur. Just food for thought. ""]"
2,['value'],[' p297'],['177'],['2101'],['2'],['Fri Feb 10 2023 20:12:24 GMT-0600 (Central Standard Time)'],['Orange'],['self-driving scooter'],['18-25'],['Male'],['Technology'],['Less_than_a_high_school_diploma'],['1'],['1'],['1'],['0'],"['1', '4']",['6'],"['Electricscooter', 'Electric_bike']",['6'],['Yes'],
3,['value'],[' p240'],['78'],['1410'],['2'],['Mon Jan 30 2023 16:11:06 GMT-0800 (PST)'],['Orange'],['Self driving scooter'],['18-25'],['Female'],['Education'],['High_school_degree_or_equivalent'],['2'],['1'],['1'],['2'],"['1', '4']",['7'],['none'],,['Yes'],
4,['value'],[' p142'],['40'],['1400'],['2'],['Mon Jan 30 2023 15:31:52 GMT-0800 (Pacific Standard Time)'],['Orange'],['Self driving scooter'],['36-45'],['Male'],['Technology'],['Associate degree'],['1'],['0'],['0'],['1'],"['1', '2']",['6'],['none'],,['Yes'],['none']
5,['value'],[' p53'],['13'],['1411'],['2'],['Mon Jan 30 2023 15:50:52 GMT-0500 (Eastern Standard Time)'],['Orange'],['scooter'],['26-35'],['Female'],['Engineering'],['Associate degree'],['2'],['2'],['2'],['2'],"['1', '2', '4']",['7'],['Electricscooter'],['7'],['Yes'],
6,['value'],[' p290'],['172'],['1410'],['2'],['Fri Feb 10 2023 20:08:17 GMT-0600 (Central Standard Time)'],['Orange'],['self driving scooter'],['46-55'],['Female'],"['Other', 'retail']",['Associate degree'],['1'],['1'],['1'],['1'],['0'],,['none'],,['Yes'],['no']
7,['value'],[' p52'],['108'],['1410'],['2'],['Tue Jan 31 2023 12:27:23 GMT-0600 (Central Standard Time)'],['Orange'],['self driving scooter'],['36-45'],['Female'],['Liberal Arts'],['Associate degree'],['1'],['0'],['0'],['0'],['1'],['5'],['none'],,['Yes'],['I do not; thank you.']
8,['value'],[' p80'],['229'],['4311'],['2'],['Wed Feb 15 2023 18:24:24 GMT-0600 (Central Standard Time)'],['Orange'],['scooter'],['26-35'],['Male'],['Technology'],['High_school_degree_or_equivalent'],['2'],['2'],['2'],['2'],"['1', '2', '4']",['6'],['none'],['4'],['Yes'],
9,['value'],[' p19'],['139'],['1401'],['2'],['Fri Feb 10 2023 17:44:36 GMT-0800 (Pacific Standard Time)'],['Orange'],['e scooter'],['26-35'],['Female'],"['Other', 'non-profit organization']","[""Bachelor's_degree(e.g. BA; BS)""]",['1'],['1'],['1'],['1'],['1'],['4'],"['Electricscooter', 'Segway']",['5'],['Yes'],
