,a_1,oa_2,ow_0,ow_1,ow_2,diff,ror_ow0,ror_ow1,ror_ow2
0,0,1,3.42857142857143,4.28571428571429,3.42857142857143,-1,3.42857142857143,5,4.71428571428571
1,0,0,2.71428571428571,2.71428571428571,2.71428571428571,0,5.57142857142857,2.14285714285714,1.85714285714286
2,1,0,5.71428571428571,5.28571428571429,4.85714285714286,1,6.14285714285714,6.28571428571429,5.71428571428571
3,1,1,6.14285714285714,6.28571428571429,5.71428571428571,0,6.14285714285714,6.28571428571429,5.71428571428571
4,1,1,4.14285714285714,5,5,0,4.14285714285714,5,5
5,1,1,6.85714285714286,5.85714285714286,6.85714285714286,0,6.85714285714286,5.85714285714286,6.85714285714286
6,1,0,5.57142857142857,2.14285714285714,1.85714285714286,1,5.28571428571429,4.85714285714286,5.57142857142857
7,0,0,3.42857142857143,5,4.71428571428571,0,3.42857142857143,5,4.71428571428571
8,0,1,5.28571428571429,4.85714285714286,5.57142857142857,-1,5.57142857142857,2.14285714285714,1.85714285714286
9,1,0,6.14285714285714,6,6.85714285714286,1,5.57142857142857,6,5.42857142857143
10,0,1,5.57142857142857,6,5.42857142857143,-1,6.14285714285714,6,6.85714285714286
11,0,0,3.85714285714286,4.71428571428571,4.14285714285714,0,3.85714285714286,4.71428571428571,4.14285714285714
12,1,0,4.71428571428571,4.57142857142857,4.57142857142857,1,6.28571428571429,6.57142857142857,6.57142857142857
13,1,1,4.57142857142857,5.42857142857143,4,0,4.57142857142857,5.42857142857143,4
14,0,1,6.28571428571429,6.57142857142857,6.57142857142857,-1,4.71428571428571,4.57142857142857,4.57142857142857
15,0,0,5.71428571428571,3,5.42857142857143,0,5.71428571428571,3,5.42857142857143
16,0,1,2.42857142857143,5.14285714285714,7,-1,5.28571428571429,3.42857142857143,5.85714285714286
17,0,1,5,5,4.57142857142857,-1,5,5.57142857142857,5.42857142857143
18,0,0,3.85714285714286,2.57142857142857,3.71428571428571,0,3.85714285714286,2.57142857142857,3.71428571428571
19,1,1,4.57142857142857,6,4.14285714285714,0,4.57142857142857,6,4.14285714285714
20,0,1,4.57142857142857,5.71428571428571,3.57142857142857,-1,6.28571428571429,5.14285714285714,6.71428571428571
21,0,1,2.28571428571429,1.85714285714286,1.85714285714286,-1,6,3.71428571428571,6.14285714285714
22,1,1,6.71428571428571,6.71428571428571,5.85714285714286,0,6.71428571428571,6.71428571428571,5.85714285714286
23,1,1,4,6,4,0,4,6,4
24,0,0,4.85714285714286,3.85714285714286,3.42857142857143,0,4.85714285714286,3.85714285714286,3.42857142857143
25,1,0,5.28571428571429,3.42857142857143,5.85714285714286,1,2.42857142857143,5.14285714285714,7
26,0,1,4.57142857142857,4.71428571428571,5.57142857142857,-1,5.57142857142857,2.85714285714286,6.42857142857143
27,1,1,5,5,5.14285714285714,0,5,5,5.14285714285714
28,0,0,7,7,7,0,7,7,7
29,1,1,4.57142857142857,4.85714285714286,4.42857142857143,0,4.57142857142857,4.85714285714286,4.42857142857143
30,1,1,7,6.71428571428571,7,0,7,6.71428571428571,7
31,0,0,3,2.28571428571429,2.28571428571429,0,3,2.28571428571429,2.28571428571429
32,1,1,4.71428571428571,5.28571428571429,3,0,4.71428571428571,5.28571428571429,3
33,0,0,4.14285714285714,4,4.28571428571429,0,4.14285714285714,4,4.28571428571429
34,0,0,4.71428571428571,4.71428571428571,5.57142857142857,0,4.71428571428571,4.71428571428571,5.57142857142857
35,0,0,6,3.28571428571429,5.14285714285714,0,6,3.28571428571429,5.14285714285714
36,0,0,5.85714285714286,5.85714285714286,5.85714285714286,0,5.85714285714286,5.85714285714286,5.85714285714286
37,0,0,6,5,5.85714285714286,0,6,5,5.85714285714286
38,0,0,6,5.85714285714286,5.57142857142857,0,6,5.85714285714286,5.57142857142857
39,1,0,5,5.57142857142857,5.42857142857143,1,5,5,4.57142857142857
40,1,0,6.28571428571429,5.14285714285714,6.71428571428571,1,4.57142857142857,5.71428571428571,3.57142857142857
41,0,0,5.28571428571429,5.57142857142857,5.85714285714286,0,5.28571428571429,5.57142857142857,5.85714285714286
42,1,1,5.14285714285714,6.14285714285714,6,0,5.14285714285714,6.14285714285714,6
43,0,0,5.57142857142857,3.71428571428571,3.57142857142857,0,5.57142857142857,3.71428571428571,3.57142857142857
44,0,0,3.57142857142857,2,4,0,3.57142857142857,2,4
45,1,0,6,3.71428571428571,6.14285714285714,1,2.28571428571429,1.85714285714286,1.85714285714286
46,1,1,6.57142857142857,6.42857142857143,6,0,6.57142857142857,6.42857142857143,6
